uno;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos
16303;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7725;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16304;05/02/2021;28/02/2021;39395;0;0;3992;43387;;;due;7726;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;18387
16305;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7727;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16306;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7728;26;;3;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;5000
16307;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7729;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16308;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7730;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16309;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7731;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16310;05/02/2021;28/02/2021;196008;0;0;3992;200000;;;due;7732;26;;2;yes;0;%;Villanueva;television;no;35;0;no;Activo;0;0
16311;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7733;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16312;05/02/2021;28/02/2021;236008;0;0;3992;240000;;;due;7734;26;;3;yes;0;%;Villanueva;Television;no;19;0;no;Activo;0;25000
16313;05/02/2021;28/02/2021;106008;0;0;3992;110000;;;due;7735;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;55000
16314;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7736;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16315;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7737;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16316;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7738;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16317;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;7739;26;;2;yes;0;%;Villanueva;Television;10Megas;no;0;no;Activo;0;0
16318;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7740;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16319;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;7741;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16320;05/02/2021;28/02/2021;44782;0;0;3992;48774;;;due;7742;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;23774
16321;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7743;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16322;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7744;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16323;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7745;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16324;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7746;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16325;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7747;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16326;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7748;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16327;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7749;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16328;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7750;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16329;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7751;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16330;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;7752;26;;2;yes;0;%;Villanueva;Television;no;7;0;no;Activo;0;0
16331;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7753;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16332;05/02/2021;28/02/2021;86008;0;0;3992;90000;;;due;7754;26;;3;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;45000
16333;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7755;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16334;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7756;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16335;05/02/2021;28/02/2021;66976;0;0;3992;70968;;;due;7757;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;45968
16336;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7758;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16337;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7759;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16338;05/02/2021;28/02/2021;76976;0;0;3992;80968;;;due;7760;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;55968
16339;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7761;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16340;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7762;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16341;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7763;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16342;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7764;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16343;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7765;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16344;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7766;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16345;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7767;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16346;05/02/2021;28/02/2021;31008;0;0;3992;35000;;;due;7768;26;;2;yes;0;%;Villanueva;Television;no;2;0;no;Activo;0;0
16347;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7769;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16348;05/02/2021;28/02/2021;71008;0;0;3992;75000;;;due;7770;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;50000
16349;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7771;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16350;05/02/2021;28/02/2021;63008;0;0;3992;67000;;;due;7772;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;12000
16351;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7773;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16352;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7774;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16353;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7775;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16354;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7776;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16355;05/02/2021;28/02/2021;146008;0;0;3992;150000;;;due;7777;26;;2;yes;0;%;Villanueva;Television;no;25;0;no;Activo;0;0
16356;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7778;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16357;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7779;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16358;05/02/2021;28/02/2021;121008;0;0;3992;125000;;;due;7780;26;;2;yes;0;%;Villanueva;Television;no;20;0;no;Activo;0;0
16359;05/02/2021;28/02/2021;121008;0;0;3992;125000;;;due;7781;26;;2;yes;0;%;Villanueva;Television;no;20;0;no;Activo;0;0
16360;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;7782;26;55000;2;yes;0;%;Villanueva;Television;10Megas;no;2;no;Activo;0;0
16361;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7783;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16362;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7784;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16363;05/02/2021;28/02/2021;57782;0;0;3992;61774;;;due;7785;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;6774
16364;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;7786;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16365;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7787;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16366;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7788;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16367;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7789;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16368;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7790;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16369;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7791;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16370;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;7792;26;55000;2;yes;0;%;Villanueva;Television;10Megas;no;2;no;Activo;0;0
16371;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7793;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16372;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7794;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16373;05/02/2021;28/02/2021;31008;0;0;3992;35000;;;due;7795;26;;2;yes;0;%;Villanueva;Television;no;2;0;no;Activo;0;0
16374;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7796;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16375;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;7797;26;55000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16376;05/02/2021;28/02/2021;176008;0;0;3992;180000;;;due;7798;26;;3;yes;0;%;Villanueva;Television;no;13;0;no;Activo;0;90000
16377;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;7799;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16378;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7800;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16379;05/02/2021;28/02/2021;46008;0;0;3992;50000;Cash;;partial;7801;26;30000;2;yes;0;%;Villanueva;Television;10Megas;no;2;no;Activo;0;0
16380;05/02/2021;28/02/2021;46008;0;0;3992;50000;Cash;;partial;7802;26;5000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16381;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7803;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16382;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7804;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16383;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7805;26;;2;yes;0;%;Villanueva;Television;no;5;0;no;Activo;0;0
16384;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7806;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16385;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7807;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16386;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7808;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16387;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7809;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16388;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;7810;26;55000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16389;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7811;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16390;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7812;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16391;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7813;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16392;05/02/2021;28/02/2021;66008;0;0;3992;70000;;;due;7814;26;;3;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;25000
16393;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7815;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16394;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7816;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16395;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7817;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16396;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7818;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16397;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7819;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16398;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7820;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16399;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7821;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16400;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7822;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16401;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7823;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16402;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7824;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16403;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7825;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16404;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7826;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16405;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7827;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16406;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7828;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16407;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;7829;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;5000
16408;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7830;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16409;05/02/2021;28/02/2021;59621;0;0;3992;63613;;;due;7831;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;38613
16410;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7832;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16411;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7833;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16412;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7834;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16413;05/02/2021;28/02/2021;86675;0;0;3992;90667;;;due;7835;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;35667
16414;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7836;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16415;05/02/2021;28/02/2021;105040;0;0;3992;109032;;;due;7837;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;84032
16416;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7838;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16417;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7839;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16418;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7840;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16419;05/02/2021;28/02/2021;67460;0;0;3992;71452;;;due;7841;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;16452
16420;05/02/2021;28/02/2021;106008;0;0;3992;110000;;;due;7842;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;55000
16421;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7843;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16422;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7844;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16423;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7845;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16424;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;7846;26;;2;yes;0;%;Villanueva;Television;10Megas;no;0;no;Activo;0;0
16425;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;7847;26;20000;3;yes;0;%;Villanueva;Television;3Megas;no;2;no;Activo;0;0
16426;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7848;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16427;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7849;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16428;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7850;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16429;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7851;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16430;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7852;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16431;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7853;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16432;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7854;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16433;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7855;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16434;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7856;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16435;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7857;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16436;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7858;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16437;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7859;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16438;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7860;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16439;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7861;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16440;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7862;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16441;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7863;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16442;05/02/2021;28/02/2021;30686;0;0;3992;34678;;;due;7864;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;9678
16443;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7865;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16444;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7866;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16445;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7867;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16446;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7868;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16447;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7869;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16448;05/02/2021;28/02/2021;71008;0;0;3992;75000;;;due;7870;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;50000
16449;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;7871;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16450;05/02/2021;28/02/2021;34718;0;0;3992;38710;;;due;7872;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;13710
16451;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7873;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16452;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7874;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16453;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;7875;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16454;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7876;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16455;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7877;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16456;05/02/2021;28/02/2021;66169;0;0;3992;70161;;;due;7878;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;15161
16457;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;7879;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16458;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7880;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16459;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7881;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16460;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;7882;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
