tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo;puntos;term;rec;ron;multi
9923;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4668;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9924;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5705;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9925;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4669;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9926;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4670;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9927;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4671;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9928;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4672;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9929;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4673;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9930;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4674;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9931;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4675;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9932;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4676;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9933;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4677;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9934;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4678;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9935;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4679;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9936;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4680;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9937;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4681;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9938;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4682;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9939;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4683;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9940;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4684;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9941;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4685;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9942;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4686;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9943;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4687;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9944;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4688;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9945;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4689;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9946;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4690;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9947;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4691;8;0;2;yes;0;%;Monterrey;Television;3Megas;0;0;no;Activo;0
9948;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4692;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9949;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4693;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9950;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4694;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9951;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4695;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9952;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4696;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9953;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4698;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9954;05/01/2021;31/01/2021;101008;0;0;3992;105000;;;due;4699;8;0;2;yes;0;%;Monterrey;television;10Megas;0;0;no;Activo;0
9955;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4700;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9956;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4701;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9957;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4702;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9958;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4703;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9959;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4704;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9960;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4705;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9961;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4706;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9962;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4707;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9963;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4709;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9964;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4710;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9965;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4711;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9966;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4713;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9967;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4714;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9968;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4715;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9969;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4716;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9970;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4717;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9971;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4718;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9972;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4719;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9973;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4720;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9974;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4721;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9975;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4722;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9976;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4723;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9977;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4724;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9978;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4725;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9979;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4726;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9980;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4727;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9981;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4728;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9982;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4729;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9983;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4730;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9984;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4731;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9985;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4732;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9986;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4733;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9987;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4734;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9988;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4735;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9989;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4736;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9990;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4737;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9991;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4738;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9992;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4739;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9993;05/01/2021;31/01/2021;101008;0;0;3992;105000;;;due;4740;8;0;2;yes;0;%;Monterrey;television;10Megas;0;0;no;Activo;0
9994;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4741;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9995;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4743;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9996;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4744;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9997;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4745;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9998;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4747;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9999;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4748;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10000;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4749;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10001;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4750;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10002;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4751;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10003;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4752;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10004;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4753;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10005;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4754;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10006;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4755;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10007;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4756;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10008;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4757;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10009;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4758;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10010;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4759;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10011;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4760;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10012;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4761;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10013;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4762;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10014;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4763;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10015;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4764;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10016;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4765;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10017;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4766;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10018;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4767;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10019;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4768;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10020;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5706;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10021;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4769;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10022;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4770;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10023;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4771;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10024;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4772;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10025;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4773;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10026;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4774;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10027;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4775;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10028;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4776;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10029;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4777;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10030;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4778;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10031;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4779;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10032;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4781;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10033;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4782;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10034;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4783;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10035;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4784;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10036;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4785;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10037;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4786;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10038;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4787;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10039;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4788;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10040;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4789;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10041;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4790;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10042;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4791;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10043;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4792;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10044;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4793;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10045;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4794;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10046;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4795;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10047;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4796;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10048;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4797;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10049;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4798;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10050;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4799;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10051;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4800;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10052;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4801;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10053;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4802;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10054;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4803;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10055;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5707;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10056;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4804;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10057;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4805;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10058;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4806;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10059;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4807;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10060;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4808;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10061;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4809;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10062;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4810;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10063;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4811;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10064;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4812;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10065;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4813;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10066;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4814;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10067;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4815;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10068;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4816;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10069;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4817;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10070;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4818;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10071;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4819;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10072;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4821;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10073;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4822;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10074;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4823;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10075;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4824;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10076;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4826;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10077;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4827;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10078;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4828;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10079;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4829;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10080;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4831;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10081;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4832;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10082;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5708;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10083;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4833;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10084;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4834;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10085;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5709;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10086;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4836;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
10087;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4837;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
10088;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4838;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
10089;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4839;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
