tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;punto;term;rec;ron;multi;saldo anterior ;;;
19496;05/02/2021;28/02/2021;85524;0;0;3992;89516;;;due;10907;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;64516;;;
19497;05/02/2021;28/02/2021;42675;0;0;3992;46667;;;due;10908;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;21667;;;
19498;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10909;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19499;05/02/2021;28/02/2021;15284;0;0;0;15284;;;due;10910;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-9716;;;
19500;05/02/2021;28/02/2021;41976;0;0;3992;45968;;;due;10911;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;20968;;;
19501;05/02/2021;28/02/2021;75524;0;0;3992;79516;;;due;10912;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;54516;;;
19502;05/02/2021;28/02/2021;-2527;0;0;0;-2527;Cash;;paid;10913;8;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Cortado;0;-57527;;;
19503;05/02/2021;28/02/2021;78239;0;0;3992;82231;;;due;10914;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;57231;;;
19504;05/02/2021;28/02/2021;42675;0;0;3992;46667;;;due;10915;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;21667;;;
19505;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10916;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19506;05/02/2021;28/02/2021;32298;0;0;3992;36290;;;due;10917;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;11290;;;
19507;05/02/2021;28/02/2021;133508;0;0;3992;137500;;;due;10918;8;;3;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Cortado;0;82500;;;
19508;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10919;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19509;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10920;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19510;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10921;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19511;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10922;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19512;05/02/2021;28/02/2021;58508;0;0;3992;62500;;;due;10923;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;37500;;;
19513;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10924;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19514;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10925;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19515;05/02/2021;28/02/2021;72137;0;0;3992;76129;;;due;10926;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;51129;;;
19516;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10927;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19517;05/02/2021;28/02/2021;231828;0;0;3992;235820;;;due;10928;8;;;yes;0;%;Villanueva;Television;no;16;0;no;Cortado;0;130820;;;
19518;05/02/2021;28/02/2021;96008;0;0;3992;100000;;;due;10929;8;;3;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Cortado;0;45000;;;
19519;05/02/2021;28/02/2021;90961;0;0;3992;94953;;;due;10930;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;69953;;;
19520;05/02/2021;28/02/2021;37943;0;0;3992;41935;;;due;10931;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;16935;;;
19521;05/02/2021;28/02/2021;151841;0;0;3992;155833;;;due;10932;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;130833;;;
19522;05/02/2021;28/02/2021;40363;0;0;3992;44355;;;due;10933;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;19355;;;
19523;05/02/2021;28/02/2021;41976;0;0;3992;45968;;;due;10934;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;20968;;;
19524;05/02/2021;28/02/2021;67675;0;0;3992;71667;;;due;10935;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;46667;;;
19525;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10936;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19526;05/02/2021;28/02/2021;72522;0;0;3992;76514;;;due;10937;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;51514;;;
19527;05/02/2021;28/02/2021;107508;0;0;3992;111500;;;due;10938;8;;3;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Cortado;0;66500;;;
19528;05/02/2021;28/02/2021;40175;0;0;3992;44167;;;due;10939;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;19167;;;
19529;05/02/2021;28/02/2021;57586;0;0;3992;61578;;;due;10940;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;36578;;;
19530;05/02/2021;28/02/2021;52675;0;0;3992;56667;;;due;10941;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;31667;;;
19531;05/02/2021;28/02/2021;24000;0;0;0;24000;;;due;10942;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-1000;;;
19532;05/02/2021;28/02/2021;46384;0;0;3992;50376;;;due;10943;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;25376;;;
19533;05/02/2021;28/02/2021;26653;0;0;3992;30645;;;due;10944;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;5645;;;
19534;05/02/2021;28/02/2021;57298;0;0;3992;61290;;;due;10945;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;36290;;;
19535;05/02/2021;28/02/2021;64556;0;0;3992;68548;;;due;10946;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;43548;;;
19536;05/02/2021;28/02/2021;56521;0;0;3992;60513;;;due;10947;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;35513;;;
19537;05/02/2021;28/02/2021;60175;0;0;3992;64167;;;due;10948;8;;3;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Cortado;0;9167;;;
19538;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10949;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19539;05/02/2021;28/02/2021;51653;0;0;3992;55645;;;due;10950;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;30645;;;
19540;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10951;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19541;05/02/2021;28/02/2021;94341;0;0;3992;98333;;;due;10952;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;73333;;;
19542;05/02/2021;28/02/2021;47675;0;0;3992;51667;;;due;10953;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;26667;;;
19543;05/02/2021;28/02/2021;85175;0;0;3992;89167;;;due;10954;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;64167;;;
19544;05/02/2021;28/02/2021;53266;0;0;3992;57258;;;due;10955;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;32258;;;
19545;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10956;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19546;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10957;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19547;05/02/2021;28/02/2021;19167;0;0;0;19167;;;due;10958;8;;2;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Cortado;0;-25833;;;
19548;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10959;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19549;05/02/2021;28/02/2021;72621;0;0;3992;76613;;;due;10960;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;51613;;;
19550;05/02/2021;28/02/2021;37137;0;0;3992;41129;;;due;10961;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;16129;;;
19551;05/02/2021;28/02/2021;46841;0;0;3992;50833;;;due;10962;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;25833;;;
19552;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;10963;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;25000;;;
19553;05/02/2021;28/02/2021;41976;0;0;3992;45968;;;due;10964;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;20968;;;
19554;05/02/2021;28/02/2021;29879;0;0;3992;33871;;;due;10965;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;8871;;;
19555;05/02/2021;28/02/2021;41976;0;0;3992;45968;;;due;10966;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;20968;;;
19556;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10967;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19557;05/02/2021;28/02/2021;63491;0;0;3992;67483;;;due;10968;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;42483;;;
19558;05/02/2021;28/02/2021;63750;0;0;3992;67742;;;due;10969;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;42742;;;
19559;05/02/2021;28/02/2021;69389;0;0;3992;73381;;;due;10970;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;48381;;;
19560;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10971;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19561;05/02/2021;28/02/2021;66008;0;0;3992;70000;;;due;10972;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;45000;;;
19562;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;10973;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;25000;;;
19563;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;10974;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;25000;;;
19564;05/02/2021;28/02/2021;65255;0;0;3992;69247;;;due;10975;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;44247;;;
19565;05/02/2021;28/02/2021;44395;0;0;3992;48387;;;due;10976;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;23387;;;
19566;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10977;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19567;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10978;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19568;05/02/2021;28/02/2021;71008;0;0;3992;75000;;;due;10979;8;;3;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Cortado;0;20000;;;
19569;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10980;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19570;05/02/2021;28/02/2021;45877;0;0;3992;49869;;;due;10981;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;24869;;;
19571;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;10982;8;;2;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Cortado;0;0;;;
19572;05/02/2021;28/02/2021;66035;0;0;3992;70027;;;due;10983;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;45027;;;
19573;05/02/2021;28/02/2021;59341;0;0;3992;63333;;;due;10984;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;38333;;;
19574;05/02/2021;28/02/2021;72675;0;0;3992;76667;;;due;10985;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;51667;;;
19575;05/02/2021;28/02/2021;88185;0;0;3992;92177;;;due;10986;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;67177;;;
19576;05/02/2021;28/02/2021;127431;0;0;3992;131423;;;due;10987;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;106423;;;
19577;05/02/2021;28/02/2021;-5000;0;0;0;-5000;Cash;;paid;10988;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-30000;;;
19578;05/02/2021;28/02/2021;-8065;0;0;0;-8065;Cash;;paid;10989;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-33065;;;
19579;05/02/2021;28/02/2021;71802;0;0;3992;75794;;;due;10990;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;50794;;;
19580;05/02/2021;28/02/2021;94073;0;0;3992;98065;;;due;10991;8;;3;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Cortado;0;43065;;;
19581;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10992;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19582;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10993;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19583;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10994;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19584;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;10995;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19585;05/02/2021;28/02/2021;-18333;0;0;0;-18333;Cash;;paid;10996;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-43333;;;
19586;05/02/2021;28/02/2021;43589;0;0;3992;47581;;;due;10997;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;22581;;;
19587;05/02/2021;28/02/2021;33427;0;0;3992;37419;;;due;10998;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;12419;;;
19588;05/02/2021;28/02/2021;59701;0;0;3992;63693;;;due;10999;8;;3;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Cortado;0;8693;;;
19589;05/02/2021;28/02/2021;71008;0;0;3992;75000;;;due;11000;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;50000;;;
19590;05/02/2021;28/02/2021;37943;0;0;3992;41935;;;due;11001;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;16935;;;
19591;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11002;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19592;05/02/2021;28/02/2021;77102;0;0;3992;81094;;;due;11003;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;56094;;;
19593;05/02/2021;28/02/2021;104105;0;0;3992;108097;;;due;11004;8;;3;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Cortado;0;63097;;;
19594;05/02/2021;28/02/2021;60524;0;0;3992;64516;;;due;11005;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;39516;;;
19595;05/02/2021;28/02/2021;32675;0;0;3992;36667;;;due;11006;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;11667;;;
19596;05/02/2021;28/02/2021;105175;0;0;3992;109167;;;due;11007;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;84167;;;
19597;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11008;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19598;05/02/2021;28/02/2021;39758;0;0;3992;43750;;;due;11009;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;18750;;;
19599;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11010;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19600;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11011;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19601;05/02/2021;28/02/2021;37137;0;0;3992;41129;;;due;11012;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;16129;;;
19602;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11013;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19603;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11014;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19604;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;11015;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;55000;;;
19605;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11016;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19606;05/02/2021;28/02/2021;44395;0;0;3992;48387;;;due;11017;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;23387;;;
19607;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11018;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19608;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11019;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19609;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11020;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19610;05/02/2021;28/02/2021;117782;0;0;3992;121774;;;due;11021;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;96774;;;
19611;05/02/2021;28/02/2021;84341;0;0;3992;88333;;;due;11022;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;63333;;;
19612;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11023;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19613;05/02/2021;28/02/2021;58804;0;0;3992;62796;;;due;11024;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;37796;;;
19614;05/02/2021;28/02/2021;57782;0;0;3992;61774;;;due;11025;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;36774;;;
19615;05/02/2021;28/02/2021;35610;0;0;3992;39602;;;due;11026;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;14602;;;
19616;05/02/2021;28/02/2021;113417;0;0;3992;117409;;;due;11027;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;92409;;;
19617;05/02/2021;28/02/2021;55246;0;0;3992;59238;;;due;11028;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;34238;;;
19618;05/02/2021;28/02/2021;45202;0;0;3992;49194;;;due;11029;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;24194;;;
19619;05/02/2021;28/02/2021;167;0;0;0;167;;;due;11030;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-24833;;;
19620;05/02/2021;28/02/2021;47890;0;0;3992;51882;;;due;11031;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;26882;;;
19621;05/02/2021;28/02/2021;64684;0;0;3992;68676;;;due;11032;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;43676;;;
19622;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11033;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19623;05/02/2021;28/02/2021;50309;0;0;3992;54301;;;due;11034;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;29301;;;
19624;05/02/2021;28/02/2021;86337;0;0;3992;90329;;;due;11035;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;65329;;;
19625;05/02/2021;28/02/2021;47777;0;0;3992;51769;;;due;11036;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;26769;;;
19626;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;11037;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;20000;;;
19627;05/02/2021;28/02/2021;-72258;0;0;0;-72258;Cash;;paid;11038;8;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Cortado;0;-127258;;;
19628;05/02/2021;28/02/2021;32298;0;0;3992;36290;;;due;11039;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;11290;;;
19629;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11040;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19630;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11041;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19631;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;11042;8;;1;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;-25000;;;
19632;05/02/2021;28/02/2021;36331;0;0;3992;40323;;;due;11043;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;15323;;;
19633;05/02/2021;28/02/2021;78266;0;0;3992;82258;;;due;11044;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;57258;;;
19634;05/02/2021;28/02/2021;62943;0;0;3992;66935;;;due;11045;8;;2;yes;0;%;Villanueva;Television;no;no;0;no;Cortado;0;41935;;;
